date;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;cat_ddd;category_region;flood
04/02/2018;24;31,6;27,4;85;1,3;4,4;4;260;2;8;1;0
05/02/2018;24;29;25;92;19,1;4,8;4;250;2;8;1;1
06/02/2018;24;29,6;24,9;92;16,9;0,5;3;230;2;8;1;1
07/02/2018;24;29,6;25,4;91;11,3;2,9;4;250;1;8;1;1
08/02/2018;24;30;25,6;93;1,7;1,2;4;250;2;2;1;1
09/02/2018;23;30,4;25,9;91;38,3;1,4;4;260;2;8;1;1
10/02/2018;24;31,8;27;86;7,7;5,4;5;280;3;8;1;0
11/02/2018;24;31,7;26,2;89;0,4;9,8;5;280;3;8;1;0
13/02/2018;25;30,2;26,8;87;1,7;4,9;4;220;1;8;1;0
14/02/2018;25;29;26,1;87;0,5;0,7;3;270;1;8;1;0
15/02/2018;24;27,2;25,4;92;1,4;0,6;4;240;2;7;1;0
16/02/2018;23;32,7;26,9;81;24,7;0;4;270;2;8;1;0
18/02/2018;24;32;26,9;83;2;1,6;3;240;2;7;1;0
20/02/2018;24;32,6;27;86;15,7;3,5;5;270;3;8;1;0
22/02/2018;25;29,6;26,8;89;16,8;6,5;3;230;1;8;1;0
24/02/2018;24;33,2;27,7;79;0;5,3;3;250;2;8;1;0
25/02/2018;23;32,2;27,6;84;16,6;8,2;4;250;2;5;1;1
26/02/2018;24;31,8;27;86;4;6,7;3;250;2;8;1;1
27/02/2018;24;32,6;27,5;85;32;2,5;4;270;2;8;1;0
28/02/2018;26;32,4;27,4;86;0,6;4,8;3;270;1;2;1;0
02/03/2018;24;33,6;27,7;84;3,6;5,4;3;60;4;3;1;0
04/03/2018;25;33,3;27,8;85;27,7;4,2;3;270;3;6;1;1
06/03/2018;25;32,2;27,4;85;3;1;5;260;4;7;1;0
07/03/2018;24;33,6;26,8;87;0,1;5,7;6;260;7;8;1;0
08/03/2018;25;32,5;26,8;89;34,2;2,8;5;260;5;8;1;0
09/03/2018;25;33;27,4;85;16,1;4,1;4;280;6;8;1;0
11/03/2018;25;33,4;27,6;87;5,3;6,4;5;260;6;8;1;0
12/03/2018;25;31;27,2;85;26,2;1,3;4;260;5;7;1;0
15/03/2018;24;35,2;29,3;74;12;7,9;4;230;6;7;1;0
17/03/2018;25;32,6;26,9;88;14,1;1,4;2;260;3;8;1;0
18/03/2018;23;33,2;27,2;80;2,3;6,6;4;230;3;1;1;0
